epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
105,7149.01,1.30167,1.07465,0.0071,0.77369,0.58941,0.66371,0.40769,1.48347,1.44203,0.00937,0.000285062,0.000285062,0.000285062
106,7215.5,1.30755,1.08843,0.00724,0.69248,0.6382,0.65543,0.39515,1.52037,1.48808,0.00962,0.000279063,0.000279063,0.000279063
107,7282.13,1.28241,1.07135,0.00715,0.70387,0.62328,0.65928,0.41655,1.47034,1.46597,0.00904,0.000273064,0.000273064,0.000273064
108,7348.92,1.30106,1.07016,0.00715,0.6762,0.64186,0.65702,0.39249,1.54644,1.52848,0.00956,0.000267064,0.000267064,0.000267064
109,7415.58,1.27804,1.04798,0.00717,0.7388,0.62607,0.66739,0.39664,1.53855,1.4942,0.00969,0.000261065,0.000261065,0.000261065
110,7483.9,1.27806,1.06617,0.007,0.77778,0.61179,0.66757,0.40821,1.50542,1.48002,0.00965,0.000255065,0.000255065,0.000255065
111,7549.82,1.27895,1.0304,0.00717,0.74311,0.62396,0.66741,0.40192,1.51853,1.49631,0.0095,0.000249066,0.000249066,0.000249066
112,7616.73,1.26647,1.03198,0.00698,0.76901,0.62497,0.67379,0.40318,1.52726,1.47275,0.00972,0.000243067,0.000243067,0.000243067
113,7686.92,1.29087,1.06012,0.00725,0.73174,0.62507,0.66126,0.39221,1.56469,1.47163,0.0099,0.000237067,0.000237067,0.000237067
114,7752.75,1.27962,1.02669,0.00691,0.67955,0.65027,0.66038,0.39812,1.52021,1.48382,0.00919,0.000231068,0.000231068,0.000231068
115,7818.17,1.2756,1.02926,0.00693,0.76309,0.58569,0.66524,0.40939,1.47596,1.4558,0.00933,0.000225068,0.000225068,0.000225068
116,7886.36,1.25603,1.02216,0.00675,0.70423,0.62241,0.66051,0.40203,1.50943,1.46814,0.00926,0.000219069,0.000219069,0.000219069
117,7953.1,1.29244,1.06123,0.00672,0.69338,0.64055,0.66572,0.41041,1.48833,1.45053,0.00919,0.00021307,0.00021307,0.00021307
118,8019.55,1.26003,1.0166,0.00676,0.72128,0.61385,0.66053,0.4078,1.49417,1.44041,0.0093,0.00020707,0.00020707,0.00020707
119,8087.96,1.26131,1.02541,0.00686,0.73015,0.61019,0.66148,0.40404,1.48363,1.50018,0.00917,0.000201071,0.000201071,0.000201071
120,8165.12,1.27061,1.0242,0.00687,0.73048,0.62849,0.66205,0.41079,1.45942,1.46364,0.00926,0.000195071,0.000195071,0.000195071
121,8238.41,1.25584,1.01326,0.00687,0.73414,0.62587,0.65984,0.40126,1.51049,1.49367,0.0094,0.000189072,0.000189072,0.000189072
122,8314.01,1.25631,1.0304,0.0068,0.70765,0.6217,0.65603,0.40118,1.49051,1.5027,0.0095,0.000183073,0.000183073,0.000183073
123,8386.97,1.28185,1.00371,0.0069,0.72945,0.63824,0.6671,0.40731,1.49053,1.46706,0.00944,0.000177073,0.000177073,0.000177073
124,8462.2,1.24259,0.98648,0.00684,0.71002,0.63696,0.66571,0.40896,1.49586,1.4485,0.00941,0.000171074,0.000171074,0.000171074
125,8533.84,1.26782,1.00395,0.00692,0.71534,0.62912,0.6643,0.40932,1.47966,1.46541,0.00928,0.000165074,0.000165074,0.000165074
126,8615,1.25547,0.99941,0.00677,0.74626,0.61153,0.66567,0.40787,1.50931,1.46209,0.00955,0.000159075,0.000159075,0.000159075
127,8701.92,1.24535,0.99716,0.00679,0.70496,0.64429,0.66653,0.40381,1.51578,1.45093,0.00952,0.000153076,0.000153076,0.000153076
128,8788.09,1.24651,0.98122,0.00667,0.73666,0.61761,0.66575,0.40097,1.53769,1.4694,0.00949,0.000147076,0.000147076,0.000147076
129,8873.84,1.23626,0.95409,0.00677,0.7212,0.63517,0.66625,0.41338,1.50374,1.44363,0.00949,0.000141077,0.000141077,0.000141077
130,8959.37,1.24855,0.96736,0.0068,0.74349,0.64005,0.66692,0.40743,1.50894,1.46294,0.00964,0.000135077,0.000135077,0.000135077
131,9045.33,1.25272,0.99737,0.00659,0.75142,0.61718,0.66514,0.40529,1.49822,1.47376,0.00963,0.000129078,0.000129078,0.000129078
132,9133.61,1.2527,0.99231,0.00686,0.76668,0.60658,0.66649,0.40665,1.49706,1.47455,0.00947,0.000123079,0.000123079,0.000123079
133,9221.34,1.26606,0.98542,0.00671,0.73603,0.63655,0.66933,0.41097,1.50108,1.48145,0.00941,0.000117079,0.000117079,0.000117079
134,9306.92,1.25082,0.95982,0.00678,0.72869,0.63681,0.67074,0.40666,1.50956,1.47918,0.00939,0.00011108,0.00011108,0.00011108
135,9378.8,1.23217,0.96234,0.00683,0.71843,0.63461,0.66979,0.40617,1.50188,1.49834,0.00943,0.00010508,0.00010508,0.00010508
136,9479.13,1.1207,0.70407,0.0067,0.73053,0.62238,0.67019,0.40255,1.51738,1.46896,0.00948,9.9081e-05,9.9081e-05,9.9081e-05
137,9550.68,1.1031,0.67432,0.00671,0.73171,0.60469,0.66631,0.40621,1.48795,1.48143,0.00929,9.30816e-05,9.30816e-05,9.30816e-05
